RAE 2822 AIRFOIL                                
 Alfa =   2.73400 Re =  6200000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000  7.22207
   0.99940  0.00004  5.90750
   0.99759  0.00014  5.90738
   0.99459  0.00030  5.90736
   0.99039  0.00050  5.90735
   0.98502  0.00072  5.90735
   0.97847  0.00094  5.90737
   0.97077  0.00111  5.90754
   0.96194  0.00121  6.68526
   0.95200  0.00120  5.90828
   0.94096  0.00103  5.90780
   0.92886  0.00069  5.90762
   0.91574  0.00016  5.90755
   0.90160 -0.00060  5.90751
   0.88651 -0.00159  5.90749
   0.87048 -0.00283  5.90747
   0.85355 -0.00431  5.90747
   0.83578 -0.00605  5.90746
   0.81720 -0.00803  5.90746
   0.79785 -0.01024  5.90746
   0.77779 -0.01269  5.90746
   0.75705 -0.01536  5.90746
   0.73570 -0.01823  5.90747
   0.71378 -0.02129  5.90747
   0.69134 -0.02450  5.90748
   0.66844 -0.02781  5.90748
   0.64514 -0.03121  5.90749
   0.62149 -0.03463  5.90750
   0.59755 -0.03804  5.90750
   0.57336 -0.04140  5.90751
   0.54901 -0.04464  5.90751
   0.52453 -0.04772  5.90751
   0.50000 -0.05056  5.90751
   0.47547 -0.05310  5.90751
   0.45099 -0.05526  5.90750
   0.42663 -0.05698  5.90750
   0.40246 -0.05822  5.90749
   0.37851 -0.05897  5.90748
   0.35486 -0.05924  5.90749
   0.33156 -0.05905  5.90751
   0.30866 -0.05846  5.90754
   0.28622 -0.05755  5.90759
   0.26430 -0.05638  5.90766
   0.24295 -0.05499  5.90776
   0.22221 -0.05343  5.90790
   0.20215 -0.05169  5.90811
   0.18280 -0.04981  5.90838
   0.16422 -0.04777  5.90882
   0.14645 -0.04561  5.90944
   0.12952 -0.04333  5.91067
   0.11349 -0.04093  5.91230
   0.09840 -0.03843  5.91606
   0.08427 -0.03584  5.92564
   0.07114 -0.03317  5.96022
   0.05904 -0.03042  6.24969
   0.04800 -0.02759  0.80765
   0.03806 -0.02468  6.45475
   0.02923 -0.02172  6.08421
   0.02153 -0.01871  6.10227
   0.01498 -0.01565  6.08099
   0.00961 -0.01256  6.08128
   0.00541 -0.00944  6.12680
   0.00241 -0.00631  6.27213
   0.00060 -0.00316  6.08871
   0.00000  0.00000  6.06583
   1.00000  0.00000  6.28504
   0.99940  0.00013  5.90764
   0.99759  0.00051  5.90739
   0.99459  0.00114  5.90736
   0.99039  0.00200  5.90735
   0.98502  0.00309  5.90735
   0.97847  0.00440  5.90735
   0.97077  0.00592  5.90742
   0.96194  0.00762  5.91925
   0.95200  0.00951  5.90890
   0.94096  0.01156  5.90883
   0.92886  0.01377  5.90778
   0.91574  0.01611  5.90766
   0.90160  0.01858  5.90757
   0.88651  0.02115  5.90751
   0.87048  0.02382  5.90750
   0.85355  0.02655  5.90747
   0.83578  0.02935  5.90746
   0.81720  0.03218  5.90745
   0.79785  0.03502  5.90744
   0.77779  0.03785  5.90744
   0.75705  0.04064  5.90744
   0.73570  0.04338  5.90743
   0.71378  0.04603  5.90743
   0.69134  0.04857  5.90743
   0.66844  0.05099  5.90744
   0.64514  0.05326  5.90744
   0.62149  0.05534  5.90744
   0.59755  0.05722  5.90745
   0.57336  0.05884  5.90745
   0.54901  0.06019  5.90745
   0.52453  0.06125  5.90746
   0.50000  0.06203  5.90746
   0.47547  0.06253  5.90746
   0.45099  0.06277  5.90745
   0.42663  0.06278  5.90749
   0.40246  0.06256  5.90737
   0.37851  0.06213  5.90734
   0.35486  0.06150  5.90733
   0.33156  0.06066  5.90734
   0.30866  0.05963  5.90736
   0.28622  0.05841  5.90780
   0.26430  0.05703  5.90771
   0.24295  0.05547  5.90797
   0.22221  0.05375  5.90897
   0.20215  0.05189  5.91061
   0.18280  0.04987  5.92178
   0.16422  0.04773  5.93866
   0.14645  0.04546  5.91714
   0.12952  0.04307  6.07290
   0.11349  0.04059  5.90755
   0.09840  0.03801  5.90740
   0.08427  0.03536  5.90745
   0.07114  0.03264  5.91618
   0.05904  0.02987  5.90756
   0.04800  0.02706  5.90784
   0.03806  0.02422  5.90893
   0.02923  0.02135  5.90767
   0.02153  0.01844  5.90861
   0.01498  0.01549  5.93177
   0.00961  0.01248  5.94910
   0.00541  0.00942  5.94691
   0.00241  0.00631  5.93631
   0.00060  0.00316  7.11755
   0.00000  0.00000  7.22207
