DOUGLAS LA203A AIRFOIL                          
 Alfa =   6.00000 Re =   250000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000  0.98767
   0.99394  0.00238*********
   0.98615  0.00442*********
   0.97667  0.00639*********
   0.96552  0.00821 -0.13095
   0.95274  0.00984*********
   0.93839  0.01122456.41907
   0.92250  0.01230433.81387
   0.90514  0.01306445.21024
   0.88637  0.01345586.85217
   0.86625  0.01348*********
   0.84486  0.01309*********
   0.82226  0.01231*********
   0.79855  0.01115*********
   0.77379  0.00960*********
   0.74809  0.00769816.50476
   0.72152  0.00545726.97174
   0.69419  0.00292688.31372
   0.66619  0.00014674.31390
   0.63762 -0.00282674.87970
   0.60858 -0.00592688.10138
   0.57917 -0.00905713.03857
   0.54949 -0.01210751.92737
   0.51965 -0.01495799.85809
   0.48976 -0.01753862.45599
   0.45992 -0.01983950.27344
   0.43023 -0.02183*********
   0.40080 -0.02351*********
   0.37173 -0.02492*********
   0.34313 -0.02612*********
   0.31509 -0.02718*********
   0.28772 -0.02812*********
   0.26111 -0.02897*********
   0.23535 -0.02972*********
   0.21054 -0.03040*********
   0.18676 -0.03102*********
   0.16409 -0.03156*********
   0.14263 -0.03202*********
   0.12243 -0.03241*********
   0.10358 -0.03269-99.91221
   0.08613 -0.03266-66.16091
   0.07016 -0.03287-35.24470
   0.05571 -0.03268-18.50142
   0.04285 -0.03221 -8.13843
   0.03160 -0.03132 -2.27984
   0.02201 -0.02964  0.34946
   0.01413 -0.02652  0.99230
   0.00796 -0.02154  0.95068
   0.00354 -0.01514  0.90967
   0.00089 -0.00802  0.99606
   0.00000  0.00000  0.36940
   1.00000  0.00000 -0.61658
   0.99394  0.00304*********
   0.98615  0.00588*********
   0.97667  0.00898*********
   0.96552  0.01241*********
   0.95274  0.01616-17.60145
   0.93839  0.02026445.08368
   0.92250  0.02470418.04068
   0.90514  0.02949417.77042
   0.88637  0.03463433.01642
   0.86625  0.04011426.36774
   0.84486  0.04594-16.31835
   0.82226  0.05209-69.22920
   0.79855  0.05855*********
   0.77379  0.06529*********
   0.74809  0.07229734.83405
   0.72152  0.07999578.30634
   0.69419  0.08680546.72803
   0.66619  0.09406514.41571
   0.63762  0.10109497.75903
   0.60858  0.10764488.80225
   0.57917  0.11357484.68860
   0.54949  0.11877487.38120
   0.51965  0.12318492.17487
   0.48976  0.12674495.21191
   0.45992  0.12944503.13458
   0.43023  0.13122513.89612
   0.40080  0.13209527.62408
   0.37173  0.13207539.36816
   0.34313  0.13118562.38672
   0.31509  0.12944590.33722
   0.28772  0.12685635.11615
   0.26111  0.12342734.89838
   0.23535  0.11923894.63757
   0.21054  0.11439812.32001
   0.18676  0.10897*********
   0.16409  0.10305*********
   0.14263  0.09669*********
   0.12243  0.08996428.98956
   0.10358  0.08292400.96774
   0.08613  0.07564400.64932
   0.07016  0.06819402.73187
   0.05571  0.06064434.17880
   0.04285  0.05305874.76691
   0.03160  0.04549462.60541
   0.02201  0.03803*********
   0.01413  0.03068*********
   0.00796  0.02334-30.66843
   0.00354  0.01584 -8.92389
   0.00089  0.00600 -0.64965
   0.00000  0.00000  0.98767
